country_group,year_entry,median_days,mean_days,p25,p75,n
El Salvador,2015,22,30.68586543476641,16,34,13421
El Salvador,2016,26,35.32990461941275,17,42,21388
El Salvador,2017,27,36.79663422546634,18,43,4932
El Salvador,2018,57,66.26872909698997,36,85,5980
El Salvador,2019,27,33.83175735950044,19,40,11210
El Salvador,2020,24,33.863373620599056,18,42,1903
El Salvador,2021,21,27.452607637786947,15,33,18906
El Salvador,2022,17,21.429234972677595,12,25,14640
El Salvador,2023,15,17.94207403221249,11,21,3539
Guatemala,2015,28,37.844233436466446,18,45,18746
Guatemala,2016,34,44.958093707713125,21,54,23648
Guatemala,2017,38,51.63887093298858,24,62,13923
Guatemala,2018,60,74.16943213004011,40,92,23685
Guatemala,2019,32,41.597520469643136,21,49,25892
Guatemala,2020,28,38.05825531282508,19,46,6729
Guatemala,2021,25,34.8085352957367,16,42,69031
Guatemala,2022,19,27.409994748818484,14,31,57130
Guatemala,2023,16,20.010868844853867,12,23,15089
Honduras,2015,24,35.41565014274591,16,39,7706
Honduras,2016,29,41.002067794106786,19,49,13541
Honduras,2017,32,46.63026491328378,20,56,5247
Honduras,2018,58,72.01489549131097,38,91,12487
Honduras,2019,30,40.971682802619064,20,48,17869
Honduras,2020,27,37.314687100894,19,46,3915
Honduras,2021,23,31.12545614420752,16,37,45490
Honduras,2022,18,25.241440080563947,13,29,35748
Honduras,2023,15,19.33681710213777,12,23,10525
Mexico,2015,25,41.3584142394822,16,50,1236
Mexico,2016,29,45.09562043795621,16,57.75,1370
Mexico,2017,35.5,50.13128491620112,20,64,716
Mexico,2018,62,75.98113207547169,36,99,1219
Mexico,2019,33,42.63455414012739,19,54,1256
Mexico,2020,26,37.455670103092785,18,48,485
Mexico,2021,21,29.946231397023524,15,35,2083
Mexico,2022,17,23.722124339290207,12,28,3973
Mexico,2023,14,17.222265172013916,11,20,2587
Other,2015,34,51.264380530973455,19,68,904
Other,2016,38,51.95,21,70,1260
Other,2017,52,65.52946350043976,30,85,1137
Other,2018,72,85.10086455331412,44,109,1735
Other,2019,28,39.80110497237569,18,50,3258
Other,2020,25,33.86229508196721,18,40,1220
Other,2021,19,26.669086251067462,13,32,9368
Other,2022,16,22.864232512953368,12,26,12352
Other,2023,15,18.493500122639194,11,22,4077
